Last_catch_date,Round_weight,Gross_weight,Product_weight
2000-01-02,2.200000047683716,2.0,2.0
2000-01-03,72.79999995231628,57.69999980926514,57.69999980926514
2000-01-04,94.8999969959259,70.5,70.5
2000-01-05,341.79999566078186,265.7999999523163,265.7999999523163
2000-01-06,146.1000007390976,112.30000019073486,112.30000019073486
2000-01-07,110.39999854564667,94.39999961853027,94.39999961853027
2000-01-08,481.60000133514404,385.900000333786,385.900000333786
2000-01-09,76.80000019073486,64.5,64.5
2000-01-10,157.19999933242798,126.0,126.0
2000-01-11,56.69999957084656,46.69999980926514,46.69999980926514
2000-01-12,213.50000274181366,173.39999985694885,173.39999985694885
2000-01-13,630.6000063419342,486.2000002861023,486.2000002861023
2000-01-14,263.3999975323677,216.39999973773956,216.39999973773956
2000-01-15,972.1000049114227,789.0999999046326,789.0999999046326
2000-01-16,466.29999911785126,366.5,366.5
2000-01-17,203.9999998807907,171.5,171.5
2000-01-18,98.40000033378601,81.6999990940094,81.6999990940094
2000-01-19,199.39999890327454,173.70000052452087,173.70000052452087
2000-01-20,436.7999994754791,353.2000012397766,353.2000012397766
2000-01-21,490.29999685287476,402.59999990463257,402.59999990463257
2000-01-22,836.0000020265579,685.5000002384186,685.5000002384186
2000-01-23,1011.4000105857849,823.5,823.5
2000-01-24,798.4999737739563,611.2999999523163,611.2999999523163
2000-01-25,182.49999856948853,142.50000023841858,142.50000023841858
2000-01-26,105.20000119507313,87.0000001937151,87.0000001937151
2000-01-27,1318.2999764680862,1044.5,1044.5
2000-01-28,358.70000433921814,297.0999999642372,297.0999999642372
2000-01-29,2017.800000667572,1572.200001001358,1572.200001001358
2000-01-30,469.6999970674515,369.7000000476837,369.7000000476837
2000-01-31,48.700000405311584,39.0,39.0
2000-02-01,50.19999980926514,39.0,39.0
2000-02-02,1940.100041627884,1455.9000012874603,1455.9000012874603
2000-02-03,294.1000008583069,230.0,230.0
2000-02-04,459.59999680519104,374.400000333786,374.400000333786
2000-02-05,1113.1000168323517,866.8999972343445,866.8999972343445
2000-02-06,195.99999904632568,156.09999990463257,156.09999990463257
2000-02-07,89.99999904632568,77.0,77.0
2000-02-08,104.09999990463257,91.59999966621399,91.59999966621399
2000-02-09,176.0999995470047,153.59999990463257,153.59999990463257
2000-02-10,817.7000060081482,656.6000006198883,656.6000006198883
2000-02-11,368.69999718666077,300.900000333786,300.900000333786
2000-02-12,755.3000047206879,609.8999993801117,609.8999993801117
2000-02-13,911.8000016212463,712.2999997138977,712.2999997138977
2000-02-14,195.80000239610672,162.00000029802322,162.00000029802322
2000-02-15,328.19999837875366,285.90000009536743,285.90000009536743
2000-02-16,986.1999896764755,762.9999989271164,762.9999989271164
2000-02-17,1496.5000265836716,1141.0999994277954,1141.0999994277954
2000-02-18,955.8000011444092,773.7000001072884,773.7000001072884
2000-02-19,4707.700000703335,3631.19999986887,3631.19999986887
2000-02-20,563.6000030040741,427.5,427.5
2000-02-21,884.7999887466431,692.4999988079071,692.4999988079071
2000-02-22,2217.1000285446644,1696.800000101328,1696.800000101328
2000-02-23,1214.9999998807907,958.6000015735626,958.6000015735626
2000-02-24,1124.3000017404556,858.7999999523163,858.7999999523163
2000-02-25,677.4000033140182,551.8999989032745,551.8999989032745
2000-02-26,1368.4999937415123,1104.9999994039536,1104.9999994039536
2000-02-27,308.19999969005585,248.70000004768372,248.70000004768372
2000-02-28,534.7000014781952,414.299999833107,414.299999833107
2000-02-29,140.80000376701355,107.80000019073486,107.80000019073486
2000-03-01,1063.3000127077103,797.2000001072884,797.2000001072884
2000-03-02,173.59999960660934,148.39999973773956,148.39999973773956
2000-03-03,770.3999884873629,609.2999981194735,609.2999981194735
2000-03-04,872.4999959468842,707.8000009059906,707.8000009059906
2000-03-05,653.2000048160553,544.1000003814697,544.1000003814697
2000-03-06,313.30000054836273,252.79999995231628,252.79999995231628
2000-03-07,104.29999995231628,90.59999990463257,90.59999990463257
2000-03-08,1151.8999915122986,875.9000022411346,875.9000022411346
2000-03-09,334.799999833107,290.30000042915344,290.30000042915344
2000-03-10,689.2999893426895,558.6000001430511,558.6000001430511
2000-03-11,1136.9999984502792,953.6000006198883,953.6000006198883
2000-03-12,329.9999928474426,269.7999997138977,269.7999997138977
2000-03-13,521.6000027656555,415.2999997138977,415.2999997138977
2000-03-14,245.40000081062317,199.09999990463257,199.09999990463257
2000-03-15,153.50000047683716,128.10000026226044,128.10000026226044
2000-03-16,575.299996972084,463.9000016450882,463.9000016450882
2000-03-17,1186.4000008106232,936.3000002503395,936.3000002503395
2000-03-18,1640.4000051021576,1356.1000001430511,1356.1000001430511
2000-03-19,349.0000001192093,291.10000014305115,291.10000014305115
2000-03-20,563.3000031709671,453.30000019073486,453.30000019073486
2000-03-21,478.60001051425934,363.80000001192093,363.80000001192093
2000-03-22,120.20000219345093,95.5,95.5
2000-03-23,283.39999783039093,235.40000039339066,235.40000039339066
2000-03-24,518.0999997258186,440.4000000357628,440.4000000357628
2000-03-25,1027.0999991893768,844.6000001430511,844.6000001430511
2000-03-26,231.10000026226044,189.80000030994415,189.80000030994415
2000-03-27,317.7000004053116,281.40000009536743,281.40000009536743
2000-03-28,323.1000006198883,274.7999999523163,274.7999999523163
2000-03-29,499.59999775886536,400.800000667572,400.800000667572
2000-03-30,899.3000040650368,765.2999985218048,765.2999985218048
2000-03-31,743.4999993443489,618.1999997496605,618.1999997496605
2000-04-01,1000.0999986231327,839.699999243021,839.699999243021
2000-04-02,405.6000008583069,345.1000003814697,345.1000003814697
