Last_catch_date,Round_weight,Gross_weight,Product_weight
2000-01-01,26.199999809265137,12.0,12.0
2000-01-03,46669.90042877197,33396.0,33396.0
2000-01-04,13757.499819397926,9837.0,9837.0
2000-01-05,38748.700125813484,29658.5,29658.5
2000-01-06,54203.00003170967,39798.0,39798.0
2000-01-07,145611.19863808155,107512.0,107512.0
2000-01-08,42936.999359726906,33911.0,33911.0
2000-01-09,14109.30021250248,11715.0,11715.0
2000-01-10,120347.09994745255,86126.0,86126.0
2000-01-11,24976.500096797943,19393.0,19393.0
2000-01-12,88097.29961121082,59697.19993209839,59697.19993209839
2000-01-13,112563.19993448257,86536.0,86536.0
2000-01-14,74848.10004580021,56781.5,56781.5
2000-01-15,109615.49969005585,83947.0,83947.0
2000-01-16,46657.40033054352,36570.0,36570.0
2000-01-17,75026.89965724945,54145.0,54145.0
2000-01-18,118594.39956045151,82524.0,82524.0
2000-01-19,129880.70068705082,99020.0,99020.0
2000-01-20,91635.40090894699,70630.0,70630.0
2000-01-21,107318.49999690056,80861.0,80861.0
2000-01-22,182577.6998550892,137269.5,137269.5
2000-01-23,59584.29996037483,45684.0,45684.0
2000-01-24,102176.79970192909,78385.0,78385.0
2000-01-25,79038.99992823601,59480.0,59480.0
2000-01-26,73443.89964747429,53340.0,53340.0
2000-01-27,84286.80022227764,64622.0,64622.0
2000-01-28,109164.39984416962,79317.5,79317.5
2000-01-29,188813.00032103062,140971.0,140971.0
2000-01-30,64692.800644636154,52669.0,52669.0
2000-01-31,101914.89980232716,72408.0,72408.0
2000-02-01,48114.799498558044,35407.0,35407.0
2000-02-02,147634.80071425438,106957.0,106957.0
2000-02-03,83892.80014002323,64086.5,64086.5
2000-02-04,107462.69986569881,82584.0,82584.0
2000-02-05,138170.70014429092,103826.5,103826.5
2000-02-06,66988.40013360977,48372.0,48372.0
2000-02-07,117991.30001044273,75439.60021972656,75439.60021972656
2000-02-08,135584.69914233685,100287.0,100287.0
2000-02-09,140027.89979565144,91217.60010910034,91217.60010910034
2000-02-10,144111.29971003532,109500.5,109500.5
2000-02-11,103163.80013120174,79607.5,79607.5
2000-02-12,165055.300542593,120482.0,120482.0
2000-02-13,37021.70008122921,27699.5,27699.5
2000-02-14,116297.69977581501,83949.0,83949.0
2000-02-15,154558.7991605997,83870.0,83870.0
2000-02-16,111919.49945962429,84522.0,84522.0
2000-02-17,175068.19995963573,134120.60000610352,134120.60000610352
2000-02-18,279904.99992644787,212924.5,212924.5
2000-02-19,425893.301045537,316583.90002441406,316583.90002441406
2000-02-20,84382.8000086546,64124.0,64124.0
2000-02-21,117860.49986183643,90229.0,90229.0
2000-02-22,122442.80003523827,89813.0,89813.0
2000-02-23,147740.60016667843,108271.5,108271.5
2000-02-24,80133.39965832233,60808.0,60808.0
2000-02-25,233162.0004248619,174066.0,174066.0
2000-02-26,231197.10055994987,169010.0,169010.0
2000-02-27,72549.79998421669,55712.0,55712.0
2000-02-28,95539.49990975857,63832.5,63832.5
2000-02-29,35342.90035521984,26089.0,26089.0
2000-03-01,107759.99993228912,80658.0,80658.0
2000-03-02,127920.10080224276,92865.5,92865.5
2000-03-03,162593.40132451057,117644.0,117644.0
2000-03-04,270497.6986589432,197566.0,197566.0
2000-03-05,84083.80022847652,62109.5,62109.5
2000-03-06,127927.90041863918,94510.0,94510.0
2000-03-07,207259.70059525967,105728.19970703125,105728.19970703125
2000-03-08,95975.7007111311,71222.5,71222.5
2000-03-09,99779.99977946281,66635.0,66635.0
2000-03-10,109838.49973285198,81585.0,81585.0
2000-03-11,131031.59987974167,94932.5,94932.5
2000-03-12,70380.00034892559,53553.0,53553.0
2000-03-13,88849.401019454,63566.0,63566.0
2000-03-14,74808.0005825758,55372.0,55372.0
2000-03-15,41222.100261330605,27547.0,27547.0
2000-03-16,74618.80043375492,58244.0,58244.0
2000-03-17,143681.89964354038,110391.0,110391.0
2000-03-18,246364.1003241539,182768.5,182768.5
2000-03-19,95222.20023453236,75964.0,75964.0
2000-03-20,153237.20069098473,110550.0,110550.0
2000-03-21,122090.60052418709,72189.89974975586,72189.89974975586
2000-03-22,56139.79984295368,40868.5,40868.5
2000-03-23,28578.399846076965,22129.5,22129.5
2000-03-24,114882.89979481697,86799.5,86799.5
2000-03-25,155937.7992399931,118232.0,118232.0
2000-03-26,61896.99959611893,47576.0,47576.0
2000-03-27,61277.69948232174,46253.0,46253.0
2000-03-28,72236.10051822662,54321.0,54321.0
2000-03-29,99335.59896707535,77443.0,77443.0
2000-03-30,329661.09823286533,239970.0,239970.0
2000-03-31,155344.60073292255,113839.0,113839.0
2000-04-01,218555.60049164295,160981.5,160981.5
2000-04-02,157917.60038280487,126066.79999995232,126066.79999995232
2000-04-03,161019.7037074566,116874.0,116874.0
2000-04-04,58352.7002235651,43010.0,43010.0
2000-04-05,128665.7012963295,98930.0,98930.0
2000-04-06,131716.10058808327,97136.5,97136.5
2000-04-07,167161.10018348694,123669.79998779297,123669.79998779297
2000-04-08,139186.99972844124,103142.39999389648,103142.39999389648
2000-04-09,135260.7003557682,108571.0,108571.0
2000-04-10,182090.80073463917,105178.00039672852,105178.00039672852
2000-04-11,120780.89837288857,87282.0,87282.0
2000-04-12,76143.00021851063,57871.0,57871.0
2000-04-13,142542.39913403988,111048.79999995232,111048.79999995232
2000-04-14,224513.19914376736,163925.0,163925.0
2000-04-15,216920.79960083961,163242.0,163242.0
2000-04-16,119696.10089445114,95976.0,95976.0
2000-04-17,110521.6003472805,77776.0,77776.0
2000-04-18,42984.20021343231,30703.0,30703.0
2000-04-19,17330.600317001343,12379.0,12379.0
2000-04-20,130.20000076293945,93.0,93.0
2000-04-21,20076.0,14340.0,14340.0
2000-04-22,11878.300031661987,8561.0,8561.0
2000-04-23,3936.199998855591,3427.0,3427.0
2000-04-24,102913.99873065948,73510.0,73510.0
2000-04-25,177092.50018930435,103112.0,103112.0
2000-04-26,94556.99911141396,68519.0,68519.0
2000-04-27,80147.10006701946,58136.0,58136.0
2000-04-28,131033.09961092472,98323.5,98323.5
2000-04-29,157064.50112998486,120205.0,120205.0
2000-04-30,50121.40044260025,39985.0,39985.0
2000-05-01,4267.7999947071075,3160.0,3160.0
2000-05-02,207579.30127036572,140352.19980430603,140352.19980430603
2000-05-03,81174.69986641407,61361.0,61361.0
2000-05-04,203410.49966204166,152742.0,152742.0
2000-05-05,130502.5983735323,97307.20000004768,97307.20000004768
2000-05-06,71751.50042164326,55464.5,55464.5
2000-05-07,34803.2001581192,27127.0,27127.0
2000-05-08,137029.19931936264,102985.5,102985.5
2000-05-09,41290.49982869625,32308.0,32308.0
2000-05-10,106086.0001437664,79783.0,79783.0
2000-05-11,138378.60407149792,103319.5,103319.5
2000-05-12,35610.10000920296,27496.80000001192,27496.80000001192
2000-05-13,46381.89974582195,35870.90000915527,35870.90000915527
2000-05-14,37211.7999484539,29006.0,29006.0
2000-05-15,77661.60018289089,58000.5,58000.5
2000-05-16,39645.499970793724,29779.0,29779.0
2000-05-17,2890.5999525785446,2139.0,2139.0
2000-05-18,66926.20024549961,49259.0,49259.0
2000-05-19,68010.80001020432,53408.800006091595,53408.800006091595
2000-05-20,137347.3004103899,94059.89999699593,94059.89999699593
2000-05-21,19170.999799966812,16158.0,16158.0
2000-05-22,184028.79796671867,92804.00024414062,92804.00024414062
2000-05-23,91548.69871461391,44418.0,44418.0
2000-05-24,102209.30014634132,61116.09999847412,61116.09999847412
2000-05-25,90686.30010783672,65222.20000076294,65222.20000076294
2000-05-26,33220.200261712074,24467.799999952316,24467.799999952316
2000-05-27,24434.50009226799,18582.900003433228,18582.900003433228
2000-05-28,2468.39997279644,2051.0,2051.0
2000-05-29,14229.799918293953,10313.0,10313.0
2000-05-30,12228.000124692917,9029.0,9029.0
2000-05-31,107699.90025603771,67365.99980449677,67365.99980449677
2000-06-01,50406.601033210754,42833.0,42833.0
2000-06-02,65410.200050354004,48908.0,48908.0
2000-06-03,27161.80002593994,21204.0,21204.0
2000-06-04,6836.39997446537,5302.0,5302.0
2000-06-05,100496.0998544693,50580.899658203125,50580.899658203125
2000-06-06,40421.39989590645,29991.0,29991.0
