Last_catch_date,Round_weight,Gross_weight,Product_weight
2000-01-01,6992.899971008301,1094.0,1094.0
2000-01-03,381832.5,257542.0,257542.0
2000-01-04,52629.0,37490.0,37490.0
2000-01-05,100113.10000038147,74208.0,74208.0
2000-01-06,153097.0,113236.0,113236.0
2000-01-07,283318.3999977112,206619.5,206619.5
2000-01-08,133167.0,95535.0,95535.0
2000-01-09,49940.49998855591,35933.0,35933.0
2000-01-10,627840.7999992371,424080.5,424080.5
2000-01-11,225607.5,151279.0,151279.0
2000-01-12,803333.2001953125,351590.59899902344,351590.59899902344
2000-01-13,456355.7993888855,321591.5,321591.5
2000-01-14,337021.5,233629.0,233629.0
2000-01-15,393748.5,295330.5,295330.5
2000-01-16,54004.70000553131,35838.0,35838.0
2000-01-17,417297.80000019073,286496.5,286496.5
2000-01-18,719122.9065704346,388210.0,388210.0
2000-01-19,457151.5,309565.0,309565.0
2000-01-20,520045.80166339874,326193.5,326193.5
2000-01-21,566903.4000015259,391585.5,391585.5
2000-01-22,623804.4000015259,477001.30000019073,477001.30000019073
2000-01-23,120318.89999389648,82878.5,82878.5
2000-01-24,486863.499168396,344424.0,344424.0
2000-01-25,436407.79999923706,297779.5,297779.5
2000-01-26,485247.0,327796.0,327796.0
2000-01-27,522589.7998046875,355330.0,355330.0
2000-01-28,717462.200006485,494032.90000009537,494032.90000009537
2000-01-29,583804.4007568359,439959.0,439959.0
2000-01-30,179352.09994363785,128375.5,128375.5
2000-01-31,826948.4976806641,536661.0,536661.0
2000-02-01,263909.1996574402,176593.0,176593.0
2000-02-02,618908.2999382019,426251.2999999523,426251.2999999523
2000-02-03,291658.20000362396,200878.0,200878.0
2000-02-04,647053.8000001907,458713.5,458713.5
2000-02-05,592564.5,456384.0,456384.0
2000-02-06,338181.0007150173,181312.5,181312.5
2000-02-07,1354801.3076171875,880889.5024414062,880889.5024414062
2000-02-08,1016877.5,703278.0,703278.0
2000-02-09,1014387.2083234787,703645.1978149414,703645.1978149414
2000-02-10,707357.0,528030.5,528030.5
2000-02-11,593778.1000137329,410891.5,410891.5
2000-02-12,1049446.7006835938,805980.0,805980.0
2000-02-13,94077.80001068115,68711.5,68711.5
2000-02-14,775115.2000007629,547593.0,547593.0
2000-02-15,1481184.9098262787,711376.5,711376.5
2000-02-16,821850.7008171082,579458.0,579458.0
2000-02-17,823739.6999969482,580268.0,580268.0
2000-02-18,1211238.8000044823,877732.0,877732.0
2000-02-19,2067200.8000116348,1581855.0,1581855.0
2000-02-20,138448.70003700256,98054.5,98054.5
2000-02-21,845760.1997070312,593175.7000000477,593175.7000000477
2000-02-22,935461.1000003815,644655.6999998093,644655.6999998093
2000-02-23,635266.2999999523,463288.0,463288.0
2000-02-24,404731.80029296875,291577.5,291577.5
2000-02-25,1166107.799835205,853487.5,853487.5
2000-02-26,1289298.8000488281,986015.0,986015.0
2000-02-27,168327.40004897118,120670.0,120670.0
2000-02-28,715877.9999818802,430997.0,430997.0
2000-02-29,590713.5,401406.0,401406.0
2000-03-01,491244.90000629425,344547.8999938965,344547.8999938965
2000-03-02,980731.3000001907,689450.5,689450.5
2000-03-03,961189.1000976562,703471.5,703471.5
2000-03-04,955353.0,696493.0,696493.0
2000-03-05,395151.5001029968,274854.5,274854.5
2000-03-06,727952.301361084,507384.4000031948,507384.4000031948
2000-03-07,1461174.100036621,912703.1966552734,912703.1966552734
2000-03-08,572610.8000249863,401298.7999997139,401298.7999997139
2000-03-09,1051853.59375,649232.0,649232.0
2000-03-10,1035857.9000015259,705816.5,705816.5
2000-03-11,1304909.3000001907,956131.2999999523,956131.2999999523
2000-03-12,143382.39989471436,101587.0,101587.0
2000-03-13,648652.5,450662.0,450662.0
2000-03-14,522133.0,365940.0,365940.0
2000-03-15,683427.2008514404,462654.5,462654.5
2000-03-16,833369.5998055935,593799.0,593799.0
2000-03-17,1283713.1999030113,908800.5,908800.5
2000-03-18,2061722.500038147,1466019.700000763,1466019.700000763
2000-03-19,211093.09997558594,143929.0,143929.0
2000-03-20,1056529.5,712376.5,712376.5
2000-03-21,811896.8995299339,509201.5005180836,509201.5005180836
2000-03-22,633622.7003898621,448953.5,448953.5
2000-03-23,1093004.501953125,746929.5,746929.5
2000-03-24,1090201.1000032425,747999.6000003815,747999.6000003815
2000-03-25,1097570.5,770958.1999969482,770958.1999969482
2000-03-26,522327.70001220703,359971.0,359971.0
2000-03-27,686883.69851017,483252.69999980927,483252.69999980927
2000-03-28,594914.7999992371,412246.2999999523,412246.2999999523
2000-03-29,683165.600025177,489068.0,489068.0
2000-03-30,1184779.5999984741,818509.0,818509.0
2000-03-31,1127130.1000089645,764224.7000007629,764224.7000007629
2000-04-01,756187.3999900818,544724.7999998331,544724.7999998331
2000-04-02,571541.7000246048,394510.6999999881,394510.6999999881
2000-04-03,885028.2999992371,610238.8000030518,610238.8000030518
2000-04-04,531327.0999994278,360878.5,360878.5
2000-04-05,1262246.600189209,860668.5,860668.5
2000-04-06,1173928.8980226517,767699.0,767699.0
2000-04-07,1119802.7000083923,766185.6999998093,766185.6999998093
2000-04-08,1068764.6000084877,743282.8000011444,743282.8000011444
2000-04-09,412447.29998779297,298067.2000000477,298067.2000000477
2000-04-10,1229444.8921632767,839855.0,839855.0
2000-04-11,509043.79999923706,347962.5,347962.5
2000-04-12,604552.5,409372.0,409372.0
2000-04-13,923449.7999267578,624291.0,624291.0
2000-04-14,1156588.300002098,783514.5,783514.5
2000-04-15,1299856.299999237,890334.000002861,890334.000002861
2000-04-16,223436.8999786377,151535.5,151535.5
2000-04-17,930011.99842453,614027.0,614027.0
2000-04-18,240328.5,161343.0,161343.0
2000-04-19,289988.29999923706,196160.5,196160.5
2000-04-20,15.0,10.0,10.0
2000-04-21,32748.0,23236.0,23236.0
2000-04-22,93948.0,63002.0,63002.0
2000-04-23,1314.7999999523163,876.5,876.5
2000-04-24,268615.5,180883.0,180883.0
2000-04-25,1335591.3991823196,919814.5,919814.5
2000-04-26,833665.5,560223.0,560223.0
2000-04-27,661084.1999969482,446187.49999952316,446187.49999952316
2000-04-28,945489.0,635680.8999996185,635680.8999996185
2000-04-29,955011.0,656574.0999984741,656574.0999984741
2000-04-30,125525.20001518726,85559.4000030756,85559.4000030756
2000-05-01,83715.0,55845.0,55845.0
2000-05-02,1215373.895915985,725478.3009033203,725478.3009033203
2000-05-03,817036.5991134644,555230.0,555230.0
2000-05-04,631861.0999984741,436986.5,436986.5
2000-05-05,1233232.8002471924,841709.0,841709.0
2000-05-06,604338.1000030041,408350.0,408350.0
2000-05-07,138946.69961547852,110321.5,110321.5
2000-05-08,991160.9000005722,666103.5,666103.5
2000-05-09,384637.5,257287.0,257287.0
2000-05-10,956693.0,650692.0,650692.0
2000-05-11,546996.199959755,364359.5,364359.5
2000-05-12,394048.2999973297,267687.69999980927,267687.69999980927
2000-05-13,753178.09998703,505669.70000457764,505669.70000457764
2000-05-14,279417.49938964844,196187.0,196187.0
2000-05-15,869802.4992179871,587288.5,587288.5
2000-05-16,609901.8000030518,408379.5,408379.5
2000-05-17,22192.5,15312.0,15312.0
2000-05-18,656536.8999271393,445461.0,445461.0
2000-05-19,800473.8000041246,549349.0000003576,549349.0000003576
2000-05-20,1222139.4093523026,907683.000002861,907683.000002861
2000-05-21,91506.80000305176,61747.5,61747.5
2000-05-22,1882997.796875,1071971.298828125,1071971.298828125
2000-05-23,736153.5023374557,423124.5,423124.5
2000-05-24,1360840.9925003052,706820.3000001907,706820.3000001907
2000-05-25,1038920.1029815674,669336.5,669336.5
2000-05-26,429470.1999511719,287310.29999923706,287310.29999923706
